Disease,Symptoms,Medical_Specialty
specific phobias,"other_types, situation, monsters, school, persistent_fear, claustrophobia, the_object, intense_fear, school_or_social_situations, panic, a_specific_phobia, injection, everything, specific_phobias, a_fear, injuries, insects, its_own_term, airplanes, an_unreasonable_fear, the_right_therapy, i, injury, your_doctor, the_fear, patient, an_immediate_feeling, childhood, situations, thunderstorms, system:'you, patients, children, excessive_fear, the_dark, medical_procedures, physical_proximity, these_types, a_parent's_side, anxiety_disorders, the_long_way, sweating, it, an_annoyance, more_than_one_object, others, a_mental_health_professional, fear_difficulty, your_fear_awareness, therapy, more_common_terms, acrophobia, your_child, most_children, what_specific_phobia, that, their_fear, most_people, spaces, blood, confined_spaces, a_persistent, phobias, the_situation, examples, the_stairs, object, sensations, work, an_elevator, rapid_heartbeat, proportion, common_categories, the_phobia, loud_noises, tight_chest, many_types, the_source, feeling, your_life, a_doctor, instance, needles, fear, heights_animals, a_specific_object, them, intense_anxiety, time, heights, the_actual_risk, your_fears, each_specific_phobia, home, you, reactions, dogs, your_child's_doctor, difficulty, your_fear_physical_reactions, accidents, anxiety, the_freeway, possibly_tantrums","Otolaryngologist, Psychiatrist"
spermatocele,"it, the_testicle, system:'you, a_spermatocele, i, patients, size, you, pain, no_signs, symptoms, the_spermatocele, patient, discomfort, the_affected_testicle_heaviness",General Practitioner
spider bites,"your_abdomen, a_bite_wound, a_red_ring, the_first_eight_hours, some_spiders, that, an_open_sore_(ulcer, system:'you, nausea, patients, any_other_bug_bite, pain, symptoms, serious_signs, the_skin, a_widow_spider_bite, swelling, widow_spiders, tremors, chills, a_bacterial_infection, bites, harmless_spider_bites, sometimes_itchy_or_painful_bump, spider_bites_signs, a_ruptured_appendix, which, appendicitis, widow_spider_bites_signs, your_skin, sweating, it, you, cramping, body, chest, a_pale_center, a_recluse_spider_bite, the_bite_fever, combination, many_skin_sores, i, spiders, redness, any_other_symptoms, patient, the_bite, other_causes, a_spider_bite, severe_abdominal_rigidity","Dermatologist, Infectious Disease Specialist"
spina bifida,"myelomeningocele, that, problems, signs, severity, individuals, system:'you, the_spinal_canal, a_sac_tissues, patients, symptoms, protrude, meningocele, nerves, these_skin_marks, several_vertebrae, any_signs, the_spinal_nerves, the_spinal_problem, a_small_dimple, this_severe_type, a_tuft, spina_bifida_occulta, hair, a_birthmark, you, the_sac, the_spinal_cord, both_the_membranes, the_newborn's_skin, skin, bladder_and_bowel_function, i, mri, birth, type, spina_bifida, this_type, patient, an_underlying_spinal_cord_issue, spinal_ultrasound","Dermatologist, Neurologist"
spinal arteriovenous malformation,"feeling, the_legs_difficulty, that, problems, the_body, system:'you, many_years, patients, people, spinal_avm, light, symptoms, more_symptoms, avm_symptoms, avm_avm_symptoms, almost_20%, the_condition, severe_back_pain_lack, their_20s, person, sudden_pain, some_people, it, you, others, stairs_numbness, the_avm, one_or_both_sides, the_legs_weakness, i, the_age, patient, bowel_movements_headache_stiff_neck_sensitivity","Gastroenterologist, Orthopedist, Otolaryngologist"
spinal cord injury,"bowel_or_bladder_control_exaggerated_reflex_activities, any_part, the_spinal_cord_injury, balance, movement_loss, the_trunk, clearing, heat, the_injury, damage, your_injury, an_accident, the_lowest_part, your_lungs__emergency_signs, quadriplegia, motor_function, altered_sensation, all, an_injury, an_intense_stinging_sensation, i, pelvic_organs, your_ability, injury, your_spinal_cord_difficulty, tetraplegia, patient, sexual_sensitivity, fertility_pain, spinal_cord_injuries, movement, some_motor_or_sensory_function, system:'you, patients, your_hands, a_series, the_ability, sexual_function, tingling, your_health_care_team, the_neurological_level, the_following_signs, the_severity, two_factors, the_neck, trunk, your_spinal_cord_injury, extreme_back_pain, that, impaired_breathing, ""the_completeness, cold_and_touch_loss, your_body_numbness, both_arms, all_ability, a_spinal_cord_injury, close__close_spinal_cord_injuries___spinal_cord_injuries, legs, varying_degrees, spinal_cord_injuries____________spinal_cord_injuries, sensation, spasms_changes, fingers, hands, the_body, pressure, an_oddly_positioned_or_twisted_neck, symptoms, your_arms, incomplete_injury, incoordination, this_paralysis, completeness, your_neck, the_nerve_fibers, symptoms_emergency_signs, paraplegia, secretions, loss, the_affected_area, you, head_or_back_weakness, your_limbs, bladder, the_lower_half, paralysis, your_spinal_cord, this, tests, either","Neurologist, Orthopedist, Pulmonologist"
spinal cord tumor,"that, the_tumor, tumors, the_nerve_roots, signs, system:'you, patients, pain, symptoms, your_arms_or_legs_muscle_weakness, back_pain, feet, muscle_weakness, heat, your_hips, different_signs, time, night_loss, bowel_or_bladder_function_difficulty, tumor_growth, which, spinal_cord_tumors, treatment, legs, bones, a_common_early_symptom, your_body, different_parts, spinal_tumors, cold_loss, other_parts, sensation, the_tumors, the_site, the_type, your_spinal_cord, i, arms, blood_vessels, your_back, patient, your_spine, tumor, different_rates","Oncologist, Orthopedist"
spinal headaches,"the_ears, that, system:'you, patients, pain, blurred_or_double_vision_sensitivity, mild, seizures, dizziness, spinal_headaches, tinnitus, loss, spinal_headache_symptoms, you, very_severe_pain, intensity, neck_pain, i, photophobia, patient","Orthopedist, Otolaryngologist"
spinal stenosis,"problems, weakness, system:'you, arm, patients, pain, symptoms, back_pain, leg, one_or_both_legs, which_part, no_symptoms, time, the_lower_back_spinal_stenosis, the_lower_back, spinal_stenosis, some_people, the_spine, you, cramping, bladder, numbness_tingling, walking_and_balance_neck_pain_problems, i, the_bowel, the_neck_spinal_stenosis, patient, this, a_hand, foot, they, the_neck, a_long_time","Gastroenterologist, Orthopedist, Urologist"
spondylitis,"pain, knees, motion, hips, periods, inactivity, numbness, the_morning, shoulders, severe_cases, limited_range, tingling, other_joints, affected_areas, the_spine, extremities, chronic_back_pain, difficulty, tenderness, proper_posture, fatigue, discomfort, the_neck, inflammation",Orthopedist
spondylosis,"numbness, weakness, neck, motion, back_pain, limited_range, the_extremities",General Practitioner
spontaneous coronary artery dissection,"scad, the_arms, system:'you, i, patients, scad__chest_pain, the_chest_pain, symptoms, shoulders, patient, extreme_tiredness_nausea_dizziness, back_or_jaw_shortness, a_rapid_heartbeat, fluttery_feeling",Cardiologist
sprained ankle,"signs, system:'you, the_ankle, motion_instability, patients, pain, symptoms, a_sprained_ankle, sound, the_injury, the_ankle_popping_sensation, weight, the_time, bruising_restricted_range, the_affected_foot_tenderness, you, i, injury, the_severity, patient, they",Orthopedist
sprains,"ankle, that, signs, the_stretching, the_joint, system:'you, sprains, the_affected_joint, patients, a_doctor, pain, any_part, symptoms, the_bones, a_sprained_ankle, fractures, numbness, the_injury, ankle_ligaments, the_doctor, weight, which, tearing, a_""pop, mild_sprains, the_time, bones, the_affected_joint_hearing, home, the_injuries, you, pain_swelling_bruising_limited_ability, serious_injuries, the_injured_area, close__close_sprained_ankle, i, your_joint, injury, an_injured_joint, the_severity, patient","Orthopedist, Otolaryngologist"
squamous cell carcinoma,"squamous_cell_carcinoma, that, signs, system:'you, your_feet, patients, your_hands, sore, symptoms, an_open_sore, red_nodule, the_skin, patch, your_genitals, your_lip, rough_patch, your_scalp, your_mouth, a_new_sore_or_raised_area, the_backs, a_firm, your_body, it, a_flat_sore, your_lips, an_old_scar, sun-exposed_skin, a_red_sore, your_ears, i, a_scaly_crust, the_anus, patient, scaly_patch, the_bottoms",Oncologist
stage 4 prostate cancer,"the_stream, signs, system:'you, i, patients, symptoms, stage, the_legs_fatigue, patient, painful_urination_decreased_force, urine_blood, 4_prostate_cancer",Oncologist
staph infections,"an_infection, tampons, staph_bacteria, the_inner_lining, muscles, hips, the_surface, the_bloodstream, mrsa_staph_infections, the_groin, life-threatening_illness, toxic_shock_syndrome, joint_swelling_severe_pain, cellulitis, staph_infection________________staph_infection_________staph_infection___staph_infection_mrsa_infections, a_sunburn_confusion_muscle, diarrhea_stomach_pain__septic_arthritis_septic_arthritis, this_life-threatening_condition_results, a_high_fever_nausea, sometimes_blisters, skin, the_infected_area, i, your_heart, close__close_staph_infection___staph_infection_mrsa_infections, staph_infection, your_brain, patient, ., a_burn, hours, a_fever, this_condition, signs, severity, system:'you, a_boil, patients, skin_infections_skin_infections, children, large_blisters, the_skin, artificial_joints, toes, toxins, a_rash, raw_surface, bacteremia, skin_wounds, a_serious_infection, a_bloodstream_infection, the_infection, your_skin, your_body, the_affected_joint_fever, it, cardiac_pacemakers, endocardium, devices, areas, painful_rash, food_poisoning, certain_types, this_type, infections, small_red_bumps, that, a_honey-colored_crust, surgery, pus, minor_skin_problems, painful_abscesses, the_condition, a_hair_follicle, the_arms, food, the_knees, the_most_common_causes, diarrhea_dehydration_low_blood_pressure__bacteremia, risk, shoulders, staph_infection___staph_infection_mrsa_infections, food_poisoning_staph_bacteria, oozing_discharge, staph_infection_mrsa_infections, the_blisters, a_staph_infection, impetigo, infection, mostly_babies, a_contaminated_food, staph_infection____________staph_infection___staph_infection_mrsa_infections, redness, the_staph_bacteria, fluid, the_deeper_layers, staphylococcal_scalded_skin_syndrome, the_most_common_type, nausea, sores, the_top_layer, symptoms, oil_gland, the_boil, some_strains, mrsa_infections, buttocks, the_bacteria, and_fingers, your_palms, you, low_blood_pressure, a_pocket, endocarditis, the_location, staph_infections, soles, internal_organs, this, locations, example, meningitis",Infectious Disease Specialist
stenosis of the tear duct,"excessive_tearing, eye_discharge, recurrent_eye_infections","Infectious Disease Specialist, Otolaryngologist"
stevens johnson syndrome,"unexplained_widespread_skin_pain, a_red_or_purple_rash, that, system:'you, patients, burning_eyes, other_signs, symptoms, genitals, the_condition, a_rash, the_mouth, blisters, your_skin, you, nose, stevens-johnson_syndrome, skin, days, eyes, early_signs, a_sore_mouth_and_throat_fatigue, i, patient, the_mucous_membranes","Dermatologist, Otolaryngologist"
stickler syndrome,"cataracts, system:'you, overly_flexible_joints, patients, people, osteoarthritis, children, symptoms, those_signs, the_signs, bone, the_ability, person, adolescence, the_same_family, severe_nearsightedness, abnormal_curvatures, the_spine, scoliosis, it, loss, high_frequencies, eye_problems, joint_abnormalities, retinal_detachments, addition, who, i, difficulties, glaucoma, the_severity, the_extent, patient, stickler_syndrome","Orthopedist, Otolaryngologist"
stimulant use disorder,"appetite, increased_heart_rate_and_blood_pressure, irritability, restlessness, increased_energy, psychosis, paranoia, severe_cases, euphoria, insomnia","Otolaryngologist, Psychiatrist"
stomach cancer,"stomach_cancer, belly_pain_feeling, that, black__stomach_cancer, signs, its_early_stages, stages, system:'you, the_body, patients, pain, yellowing, symptoms, the_skin, the_belly, black_stools, fluid, metastatic_stomach_cancer, small_amounts, blood, the_eyes, food, trouble, weight, cancer, it, you, the_lymph_nodes, very_tired_stools, other_parts, the_upper_part, whites, indigestion, the_liver, lumps, i, patient, the_cancer, example, they","Gastroenterologist, Oncologist"
stomach polyps,"open_sores, system:'you, patients, pain, symptoms, your_stomach, the_opening, its_surface, you, a_stomach_polyp_enlarges, tenderness, ulcers, the_polyp, i, your_stomach_nausea_blood, your_small_intestine, patient, stomach_polyps, your_stool_anemia",Gastroenterologist
strep throat,"younger_children_body, that, a_person, signs, the_back, system:'you, patients, symptoms, your_neck_fever_headache_rash_nausea, red_spots, the_roof, tender_lymph_nodes, the_area, strep_throat_infection_strep_throat, this_photo, a_viral_infection, these_signs, no_symptoms, strep_throat_infection____________strep_throat_infection___strep_throat_infection_strep_throat, pus_tiny_red_spots, the_mouth, some_other_illness, the_infection, infection________________strep_throat_infection_________strep_throat, it, you, strep, difficulty, throat_pain, close__close_strep_throat_infection___strep_throat_infection_strep_throat, strep_throat_infection___strep_throat_infection_strep_throat, strep_throat, who, i, quickly_painful_swallowing_red_and_swollen_tonsils, your_child, your_doctor, white_patches, patient, soft_or_hard_palate, the_cause, streaks, inflammation","Infectious Disease Specialist, Otolaryngologist"
